Rainfall - (MM), Year, Statistics, Country, ISO3
23.6, 1910, Sep Average, South Africa, ZAF
64.6, 1910, Oct Average, South Africa, ZAF
36.0, 1910, Nov Average, South Africa, ZAF
58.3, 1910, Dec Average, South Africa, ZAF
79.2, 1911, Jan Average, South Africa, ZAF
47.6, 1911, Feb Average, South Africa, ZAF
85.4, 1911, Mar Average, South Africa, ZAF
41.4, 1911, Apr Average, South Africa, ZAF
43.0, 1911, May Average, South Africa, ZAF
14.1, 1911, Jun Average, South Africa, ZAF
22.3, 1911, Jul Average, South Africa, ZAF
19.7, 1911, Aug Average, South Africa, ZAF
21.5, 1911, Sep Average, South Africa, ZAF
48.9, 1911, Oct Average, South Africa, ZAF
56.3, 1911, Nov Average, South Africa, ZAF
29.2, 1911, Dec Average, South Africa, ZAF
53.0, 1912, Jan Average, South Africa, ZAF
76.3, 1912, Feb Average, South Africa, ZAF
39.5, 1912, Mar Average, South Africa, ZAF
47.7, 1912, Apr Average, South Africa, ZAF
17.7, 1912, May Average, South Africa, ZAF
20.9, 1912, Jun Average, South Africa, ZAF
9.7, 1912, Jul Average, South Africa, ZAF
8.1, 1912, Aug Average, South Africa, ZAF
13.8, 1912, Sep Average, South Africa, ZAF
14.7, 1912, Oct Average, South Africa, ZAF
24.0, 1912, Nov Average, South Africa, ZAF
69.2, 1912, Dec Average, South Africa, ZAF
52.2, 1913, Jan Average, South Africa, ZAF
91.9, 1913, Feb Average, South Africa, ZAF
77.8, 1913, Mar Average, South Africa, ZAF
33.0, 1913, Apr Average, South Africa, ZAF
11.0, 1913, May Average, South Africa, ZAF
17.3, 1913, Jun Average, South Africa, ZAF
11.9, 1913, Jul Average, South Africa, ZAF
18.9, 1913, Aug Average, South Africa, ZAF
35.6, 1913, Sep Average, South Africa, ZAF
51.3, 1913, Oct Average, South Africa, ZAF
37.3, 1913, Nov Average, South Africa, ZAF
25.4, 1913, Dec Average, South Africa, ZAF
45.8, 1914, Jan Average, South Africa, ZAF
63.2, 1914, Feb Average, South Africa, ZAF
50.1, 1914, Mar Average, South Africa, ZAF
33.4, 1914, Apr Average, South Africa, ZAF
24.5, 1914, May Average, South Africa, ZAF
19.3, 1914, Jun Average, South Africa, ZAF
9.5, 1914, Jul Average, South Africa, ZAF
24.6, 1914, Aug Average, South Africa, ZAF
10.0, 1914, Sep Average, South Africa, ZAF
37.7, 1914, Oct Average, South Africa, ZAF
79.5, 1914, Nov Average, South Africa, ZAF
87.8, 1914, Dec Average, South Africa, ZAF
104.3, 1915, Jan Average, South Africa, ZAF
78.8, 1915, Feb Average, South Africa, ZAF
24.9, 1915, Mar Average, South Africa, ZAF
20.4, 1915, Apr Average, South Africa, ZAF
19.6, 1915, May Average, South Africa, ZAF
15.3, 1915, Jun Average, South Africa, ZAF
23.7, 1915, Jul Average, South Africa, ZAF
6.7, 1915, Aug Average, South Africa, ZAF
17.7, 1915, Sep Average, South Africa, ZAF
51.1, 1915, Oct Average, South Africa, ZAF
53.0, 1915, Nov Average, South Africa, ZAF
52.5, 1915, Dec Average, South Africa, ZAF
51.2, 1916, Jan Average, South Africa, ZAF
28.7, 1916, Feb Average, South Africa, ZAF
69.0, 1916, Mar Average, South Africa, ZAF
29.2, 1916, Apr Average, South Africa, ZAF
24.4, 1916, May Average, South Africa, ZAF
6.8, 1916, Jun Average, South Africa, ZAF
7.9, 1916, Jul Average, South Africa, ZAF
9.4, 1916, Aug Average, South Africa, ZAF
9.1, 1916, Sep Average, South Africa, ZAF
33.4, 1916, Oct Average, South Africa, ZAF
40.8, 1916, Nov Average, South Africa, ZAF
79.1, 1916, Dec Average, South Africa, ZAF
64.4, 1917, Jan Average, South Africa, ZAF
80.8, 1917, Feb Average, South Africa, ZAF
70.4, 1917, Mar Average, South Africa, ZAF
39.5, 1917, Apr Average, South Africa, ZAF
15.5, 1917, May Average, South Africa, ZAF
28.0, 1917, Jun Average, South Africa, ZAF
27.7, 1917, Jul Average, South Africa, ZAF
35.2, 1917, Aug Average, South Africa, ZAF
26.9, 1917, Sep Average, South Africa, ZAF
46.4, 1917, Oct Average, South Africa, ZAF
83.0, 1917, Nov Average, South Africa, ZAF
76.7, 1917, Dec Average, South Africa, ZAF
86.4, 1918, Jan Average, South Africa, ZAF
85.5, 1918, Feb Average, South Africa, ZAF
112.2, 1918, Mar Average, South Africa, ZAF
7.4, 1918, Apr Average, South Africa, ZAF
20.7, 1918, May Average, South Africa, ZAF
11.5, 1918, Jun Average, South Africa, ZAF
21.8, 1918, Jul Average, South Africa, ZAF
27.4, 1918, Aug Average, South Africa, ZAF
36.1, 1918, Sep Average, South Africa, ZAF
41.9, 1918, Oct Average, South Africa, ZAF
